"n","rho","method","variable","selection_rate","true_positive_rate","type_II_error","false_positive_rate","type_I_error","mean_beta_hat_uncond","bias_uncond","mean_beta_hat_selected","bias_selected","coverage_selected","coverage_uncond"
250,0,"Backward p-value","X5",1,1,0,NA,NA,0.834505788301026,0.00117245496769237,0.834505788301026,0.00117245496769237,0.9436,0.9436
250,0,"Backward p-value","X6",0.312,NA,NA,0.312,0.061,7.02591015517353e-05,7.02591015517353e-05,0.000225189428050434,0.000225189428050434,0.80448717948718,0.251
250,0,"Backward p-value","X7",0.309,NA,NA,0.309,0.0557,0.000376659163854437,0.000376659163854437,0.0012189616953218,0.0012189616953218,0.819741100323625,0.2533
250,0,"Backward p-value","X8",0.3099,NA,NA,0.3099,0.0568,-0.000499656295378864,-0.000499656295378864,-0.00161231460270689,-0.00161231460270689,0.816715069377218,0.2531
250,0,"Backward p-value","X9",0.3181,NA,NA,0.3181,0.0562,-0.000558417153920215,-0.000558417153920215,-0.00175547674919904,-0.00175547674919904,0.823325998113801,0.2619
250,0,"Elastic Net lambda.1se","X1",0.7177,0.7177,0.2823,NA,NA,0.139505573779405,-0.0271610928872616,0.194378673233113,0.0277120065664462,0.958617806883099,0.688
250,0,"Elastic Net lambda.1se","X10",0.0784,NA,NA,0.0784,0.0407,5.09359988076907e-05,5.09359988076907e-05,0.000649693862342993,0.000649693862342993,0.480867346938776,0.0377
250,0,"Elastic Net lambda.1se","X11",0.0718,NA,NA,0.0718,0.0374,-0.000302263688179143,-0.000302263688179143,-0.0042098006710187,-0.0042098006710187,0.479108635097493,0.0344
250,0,"Elastic Net lambda.1se","X12",0.0767,NA,NA,0.0767,0.041,-3.10821775764251e-05,-3.10821775764251e-05,-0.000405243514686116,-0.000405243514686116,0.465449804432855,0.0357
250,0,"Elastic Net lambda.1se","X13",0.0768,NA,NA,0.0768,0.0374,-0.000201461071739602,-0.000201461071739602,-0.00262319103827607,-0.00262319103827607,0.513020833333333,0.0394
250,0,"Elastic Net lambda.1se","X14",0.0759,NA,NA,0.0759,0.0393,-0.000164497245844054,-0.000164497245844054,-0.00216728914155539,-0.00216728914155539,0.482213438735178,0.0366
250,0,"Elastic Net lambda.1se","X15",0.0761,NA,NA,0.0761,0.0429,-1.33023891726472e-05,-1.33023891726472e-05,-0.000174801434594575,-0.000174801434594575,0.436268068331143,0.0332
250,0,"Elastic Net lambda.1se","X16",0.0849,NA,NA,0.0849,0.0455,-0.000451407632519906,-0.000451407632519906,-0.00531693324522858,-0.00531693324522858,0.464075382803298,0.0394
250,0,"Elastic Net lambda.1se","X17",0.0772,NA,NA,0.0772,0.0402,0.00023649480674553,0.00023649480674553,0.00306340423245505,0.00306340423245505,0.479274611398964,0.037
250,0,"Elastic Net lambda.1se","X18",0.0752,NA,NA,0.0752,0.0399,0.000744033213929992,0.000744033213929992,0.00989405869587756,0.00989405869587756,0.469414893617021,0.0353
250,0,"Elastic Net lambda.1se","X19",0.0762,NA,NA,0.0762,0.0404,0.000230442525989031,0.000230442525989031,0.00302418013108964,0.00302418013108964,0.469816272965879,0.0358
250,0,"Elastic Net lambda.1se","X2",0.9975,0.9975,0.00249999999999995,NA,NA,0.330313859433804,-0.00301947389952905,0.3311417137181,-0.00219161961523381,0.942355889724311,0.94
250,0,"Elastic Net lambda.1se","X20",0.0769,NA,NA,0.0769,0.0426,0.00012914780896842,0.00012914780896842,0.00167942534419272,0.00167942534419272,0.446033810143043,0.0343
250,0,"Elastic Net lambda.1se","X3",1,1,0,NA,NA,0.496982411113037,-0.0030175888869626,0.496982411113037,-0.0030175888869626,0.9427,0.9427
250,0,"Elastic Net lambda.1se","X4",1,1,0,NA,NA,0.665270045672683,-0.00139662099398395,0.665270045672683,-0.00139662099398395,0.9438,0.9438
250,0,"Elastic Net lambda.1se","X5",1,1,0,NA,NA,0.83154662545174,-0.0017867078815933,0.83154662545174,-0.0017867078815933,0.9443,0.9443
250,0,"Elastic Net lambda.1se","X6",0.0818,NA,NA,0.0818,0.0426,-0.000189309182644107,-0.000189309182644107,-0.00231429318635828,-0.00231429318635828,0.47921760391198,0.0392
250,0,"Elastic Net lambda.1se","X7",0.0781,NA,NA,0.0781,0.0386,0.000738366104717681,0.000738366104717681,0.00945411145605226,0.00945411145605226,0.505761843790013,0.0395
250,0,"Elastic Net lambda.1se","X8",0.0731,NA,NA,0.0731,0.0382,-1.26020413014244e-05,-1.26020413014244e-05,-0.000172394545847118,-0.000172394545847118,0.477428180574555,0.0349
250,0,"Elastic Net lambda.1se","X9",0.0792,NA,NA,0.0792,0.0411,-0.000302084945371041,-0.000302084945371041,-0.00381420385569497,-0.00381420385569497,0.481060606060606,0.0381
250,0,"Elastic Net lambda.min","X1",0.9604,0.9604,0.0396,NA,NA,0.165367558516658,-0.00129910815000821,0.172186129234338,0.00551946256767158,0.962203248646397,0.9241
250,0,"Elastic Net lambda.min","X10",0.4998,NA,NA,0.4998,0.0533,9.75854489687332e-05,9.75854489687332e-05,0.000195248997536481,0.000195248997536481,0.893357342937175,0.4465
250,0,"Elastic Net lambda.min","X11",0.489,NA,NA,0.489,0.0503,-0.000413829852967958,-0.000413829852967958,-0.000846277817930385,-0.000846277817930385,0.897137014314928,0.4387
250,0,"Elastic Net lambda.min","X12",0.4906,NA,NA,0.4906,0.0543,-0.000321962473971794,-0.000321962473971794,-0.000656262686448826,-0.000656262686448826,0.889319200978394,0.4363
